K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:192b-3	rigs kyi bu dang /	rigs_0 kyi_5 bu_9 dang_12 
K04D0012_H0011:192b-4	rigs kyi bu mo de dag ni /	rigs_0 kyi_5 bu_9 mo_12 de_15 'dag_18 ni_22 
K04D0012_H0011:192b-5	dge ba'i rtsa ba bsags pa lags te /	dge_0 ba_4 rtsa_9 ba_14 bsags_17 ba_23 lags_26 te_31 
K04D0012_H0011:192b-6	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:192b-7	de dag ni /	de_0 'dag_3 ni_7 
K04D0012_H0011:192b-8	dge ba'i rtsa ba shin tu bsags par rig par bgyi'o //	dge_0 ba_4 rtsa_9 ba_14 shin_17 tu_22 bsags_25 ba_31 rig_35 ba_39 bgyid_43 
K04D0012_H0011:192b-9	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:192b-10	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:192b-11	dper na /	dper_0 na_5 
K04D0012_H0011:192b-12	skyes bu zhig 'brog dgon pa dpag tshad brgya pa'am /	skye_0 bu_6 'jig_9 'brog_14 dgon_20 ba_25 dpog_28 tshad_33 brgya_39 ba_45 
K04D0012_H0011:192b-13	dpag tshad nyis brgya pa'am /	dpog_0 tshad_5 nyis_11 brgya_16 ba_22 
K04D0012_H0011:192b-14	dpag tshad sum brgya pa'am /	dpog_0 tshad_5 sum_11 brgya_15 ba_21 
K04D0012_H0011:192b-15	dpag tshad bzhi brgya pa'am /	dpog_0 tshad_5 bzhi_11 brgya_16 ba_22 
K04D0012_H0011:192b-16	dpag tshad lnga brgya pa'am /	dpog_0 tshad_5 lnga_11 brgya_16 ba_22 
K04D0012_H0011:192b-17	dpag tshad brgya phrag bcu pa'i 'brog dgon pa nas	dpog_0 tshad_5 brgya_11 phrag_17 'chu_23 ba_27 'brog_32 dgon_38 ba_43 nas_46 
K04D0012_H0011:192b-18	byung ste des byung ba dang mtshan ma gang gis	'byung_0 ste_6 des_10 'byung_14 ba_20 dang_23 mtshan_28 ma_35 gang_38 gis_43 
K04D0012_H0011:192b-19	grong ngam / grong khyer ram /	grong_0 ngam_6 grong_13 'khyer_19 ram_25 
K04D0012_H0011:192b-20	grong rdal mchis par mngon pa'i mtshan ma sngar gda' ba ba lang rdzi'am /	grong_0 rdal_6 mchis_11 ba_17 mngon_21 ba_27 mtshan_32 ma_39 sngar_42 gda'_48 ba_53 ba_56 lang_59 rdzi_64 
K04D0012_H0011:192b-21	phyugs rdzi'am /	phyugs_0 rdzi_7 
K04D0012_H0011:192b-22	mtshams sam /	mtshams_0 sam_8 
K04D0012_H0011:192b-23	kun dga' ra ba phun sum tshogs pa'am /	kun_0 dga'_4 ra_9 ba_12 phun_15 sum_20 tshogs_24 ba_31 
K04D0012_H0011:192b-24	tshal phun sum tshogs pa'am /	tshal_0 phun_6 sum_11 tshogs_15 ba_22 
K04D0012_H0011:192b-25	de ma lags pa'i mtshan ma gzhan dag kyang rung ste /	de_0 ma_3 lags_6 ba_11 mtshan_16 ma_23 gzhan_26 'dag_32 kyang_36 rung_42 ste_47 
K04D0012_H0011:192b-26	des sngar mtshan ma de dag mthong ba dang 'di snyam du /	des_0 sngar_4 mtshan_10 ma_17 de_20 'dag_23 mthong_27 ba_34 dang_37 'di_42 snyam_46 du_52 
K04D0012_H0011:192b-27	'di ltar sngar gyi mtshan ma 'di dag snang bas /	'di_0 ltar_4 sngar_9 gyi_15 mtshan_19 ma_26 'di_29 'dag_33 snang_37 ba_43 
K04D0012_H0011:192b-28	de ltar grong ngam /	de_0 ltar_3 grong_8 ngam_14 
K04D0012_H0011:192b-29	grong khyer ram /	grong_0 'khyer_6 ram_12 
K04D0012_H0011:192b-30	grong rdal du nye bar gyur te /	grong_0 rdal_6 du_11 nye_14 ba_18 gyur_22 te_27 
K04D0012_H0011:192b-31	snyam nas de ni /	snyam_0 nas_6 de_10 ni_13 
K04D0012_H0011:192b-32	dbugs phyin pa rnyed pa lags te /	dbugs_0 phyin_6 ba_12 rnyed_15 ba_21 lags_24 te_29 
K04D0012_H0011:192b-33	de la slan chad chom po yid la bgyid pa ma mchis pa lags so //	de_0 la_3 slan_6 'chad_11 chom_16 po_21 yid_24 la_28 bgyid_31 ba_37 ma_40 mchis_43 ba_49 lags_52 so_57 
K04D0012_H0011:192b-34	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:192b-35	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:192b-36	po gang zhig shes rab kyi pha rol tu phyin	po_0 gang_3 'jig_8 shes_13 rab_18 kyi_22 pha_26 rol_30 tu_34 phyin_37 
K04D0012_H0011:192b-37	pa zab mo 'di la nye bar gnas na /	ba_0 zab_3 mo_7 'di_10 la_14 nye_17 ba_21 gnas_25 na_30 
K04D0012_H0011:192b-38	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:192b-39	byang chub sems dpa' sems dpa' chen po 'di ni /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'di_39 ni_43 
K04D0012_H0011:193a-0	bla na med pa @193a *//	bla_0 na_4 med_7 ba_11 
K04D0012_H0011:193a-1	yang dag par rdzogs pa'i byang chub tu bsnyen pa lags te /	yang_0 'dag_5 ba_9 rdzogs_13 ba_20 byang_25 chub_31 tu_36 snyen_39 ba_46 lags_49 te_54 
K04D0012_H0011:193a-2	byang chub sems dpa' sems dpa' chen po 'di ni /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'di_39 ni_43 
K04D0012_H0011:193a-3	ring po mi thogs par bla na med pa yang	ring_0 po_5 mi_8 thogs_11 ba_17 bla_21 na_25 med_28 ba_32 yang_35 
K04D0012_H0011:193a-4	dag par rdzogs pa'i byang chub tu lung bstan pa	'dag_0 ba_4 rdzogs_8 ba_15 byang_20 chub_26 tu_31 lung_34 ston_39 ba_45 
K04D0012_H0011:193a-5	thob par rig par bgyi'o //	'thob_0 ba_5 rig_9 ba_13 bgyid_17 
K04D0012_H0011:193a-6	de'ang nyan thos kyi sa'am rang sangs rgyas kyi sa la skrag par mi 'gyur /	de_0 nyan_7 thos_12 kyi_17 sa_21 rang_27 sangs_32 rgya_38 kyi_44 sa_48 la_51 skrag_54 ba_60 mi_64 'gyur_67 
K04D0012_H0011:193a-7	'jigs par mi 'gyur ro //	'jigs_0 ba_6 mi_10 'gyur_13 ro_19 
K04D0012_H0011:193a-8	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:193a-9	'di ltar des sngar gyi mtshan ma 'di dag mthong ste /	'di_0 ltar_4 des_9 sngar_13 gyi_19 mtshan_23 ma_30 'di_33 'dag_37 mthong_41 ste_48 
K04D0012_H0011:193a-10	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:193a-11	shes rab kyi pha rol tu phyin pa zab mo 'di blta ba dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zab_33 mo_37 'di_40 lta_44 ba_49 dang_52 
K04D0012_H0011:193a-12	phyag bgyi ba dang /	phyag_0 bgyid_6 ba_11 dang_14 
K04D0012_H0011:193a-13	bsnyen bkur bgyi ba dang /	snyen_0 bkur_7 bgyid_12 ba_17 dang_20 
K04D0012_H0011:193a-14	mnyan pa thob pa'i slad du'o //	nyan_0 ba_6 'thob_9 ba_14 slad_19 du_24 
K04D0012_H0011:193a-15	de skad ces gsol pa dang /	de_0 skad_3 ces_8 gsol_12 ba_17 dang_20 
K04D0012_H0011:193a-16	bcom ldan 'das kyis tshe dang ldan pa sh'a ri'i bu la 'di skad ces bka' stsal to //	'joms_0 ldan_5 'da'_10 kyis_15 tshe_20 dang_25 ldan_30 ba_35 sh_38 ri_43 bu_48 la_51 'di_54 skad_58 ces_63 bka'_67 stsal_72 to_78 
K04D0012_H0011:193a-17	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:193a-18	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:193a-19	de de bzhin te /	de_0 de_3 bzhin_6 te_12 
K04D0012_H0011:193a-20	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:193a-21	ji ltar 'di sangs rgyas kyi mthus smra ba dang /	ji_0 ltar_3 'di_8 sangs_12 rgya_18 kyi_24 mthus_28 smra_34 ba_39 dang_42 
K04D0012_H0011:193a-22	smra bar 'gyur ba de bzhin du'ang gnas 'di la khyod spobs par gyis shig /	smra_0 ba_5 'gyur_9 ba_15 de_18 bzhin_21 du_27 gnas_34 'di_39 la_43 khyod_46 spobs_52 ba_58 gyis_62 shig_67 
K04D0012_H0011:193a-23	de skad ces bka' stsal pa dang /	de_0 skad_3 ces_8 bka'_12 stsal_17 ba_23 dang_26 
K04D0012_H0011:193a-24	bcom ldan 'das la tshe dang ldan pa sh'a ri'i bus 'di skad ces gsol to //	'joms_0 ldan_5 'da'_10 la_15 tshe_18 dang_23 ldan_28 ba_33 sh_36 ri_41 'bud_46 'di_50 skad_54 ces_59 gsol_63 to_68 
K04D0012_H0011:193a-25	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:193a-26	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:193a-27	dper na /	dper_0 na_5 
K04D0012_H0011:193a-28	'di na skyes bu la la zhig rgya mtsho chen po lta 'tshal bar gyur te /	'di_0 na_4 skye_7 bu_13 la_16 la_19 'jig_22 rgya_27 mtsho_32 chen_38 po_43 lta_46 'tshal_50 ba_57 gyur_61 te_66 
K04D0012_H0011:193a-29	de rgya mtsho chen po ltar mchis pa dang /	de_0 rgya_3 mtsho_8 chen_14 po_19 ltar_22 mchis_27 ba_33 dang_36 
K04D0012_H0011:193a-30	ji lta ji ltar de rgya mtsho chen po lta	ji_0 lta_3 ji_7 ltar_10 de_15 rgya_18 mtsho_23 chen_29 po_34 lta_37 
K04D0012_H0011:193a-31	bar mchis pa de lta de ltar gal te des	ba_0 mchis_4 ba_10 de_13 lta_16 de_20 ltar_23 gal_28 te_32 des_35 
K04D0012_H0011:193a-32	sdong po'am / sdong po'i mtshan ma'am /	sdong_0 po_6 sdong_14 po_20 mtshan_25 ma_32 
K04D0012_H0011:193a-33	ri'am /	ri_0 
K04D0012_H0011:193a-34	ri'i mtshan ma mthong na /	ri_0 mtshan_5 ma_12 mthong_15 na_22 
K04D0012_H0011:193a-35	des 'di snyam du /	des_0 'di_4 snyam_8 du_14 
K04D0012_H0011:193a-36	'di nas rgya mtsho chen po ni /	'di_0 nas_4 rgya_8 mtsho_13 chen_19 po_24 ni_27 
K04D0012_H0011:193a-37	da dung ring ngo /	da_0 dung_3 ring_8 ngo_13 
K04D0012_H0011:193b-0	@193b snyam du 'tshal par bgyi'o //	snyam_6 du_12 'tshal_15 ba_22 bgyid_26 
K04D0012_H0011:193b-1	gal te phyis sdong po'am /	gal_0 te_4 'byid_7 sdong_13 po_19 
K04D0012_H0011:193b-2	sdong po'i mtshan ma'am /	sdong_0 po_6 mtshan_11 ma_18 
K04D0012_H0011:193b-3	ri'am /	ri_0 
K04D0012_H0011:193b-4	ri'i mtshan ma ma mthong na /	ri_0 mtshan_5 ma_12 ma_15 mthong_18 na_25 
K04D0012_H0011:193b-5	des 'di snyam du /	des_0 'di_4 snyam_8 du_14 
K04D0012_H0011:193b-6	'di nas ni /	'di_0 nas_4 ni_8 
K04D0012_H0011:193b-7	rgya mtsho chen po dang nye'o //	rgya_0 mtsho_5 chen_11 po_16 dang_19 nye_24 
K04D0012_H0011:193b-8	snyam du 'tshal bar bgyi'o //	snyam_0 du_6 'tshal_9 ba_16 bgyid_20 
K04D0012_H0011:193b-9	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:193b-10	rgya mtsho chen po ni /	rgya_0 mtsho_5 chen_11 po_16 ni_19 
K04D0012_H0011:193b-11	rim gyis dma' ba lags pas /	rim_0 gyis_4 dma'_9 ba_14 lags_17 ba_22 
K04D0012_H0011:193b-12	rgya mtsho chen po'i nang na sdong po'am /	rgya_0 mtsho_5 chen_11 po_16 nang_21 na_26 sdong_29 po_35 
K04D0012_H0011:193b-13	sdong po'i mtshan ma'am /	sdong_0 po_6 mtshan_11 ma_18 
K04D0012_H0011:193b-14	ri'am /	ri_0 
K04D0012_H0011:193b-15	ri'i mtshan ma gang yang ma mchis te /	ri_0 mtshan_5 ma_12 gang_15 yang_20 ma_25 mchis_28 te_34 
K04D0012_H0011:193b-16	'di ltar yang rgya mtsho chen po de mig gis	'di_0 ltar_4 yang_9 rgya_14 mtsho_19 chen_25 po_30 de_33 mig_36 gis_40 
K04D0012_H0011:193b-17	mngon sum du ma mthong ba de lta na'ang rgya	mngon_0 sum_6 du_10 ma_13 mthong_16 ba_23 de_26 lta_29 na_33 rgya_40 
K04D0012_H0011:193b-18	mtsho chen po ni /	mtsho_0 chen_6 po_11 ni_14 
K04D0012_H0011:193b-19	bdag gis bsnyen te /	bdag_0 gis_5 snyen_9 te_16 
K04D0012_H0011:193b-20	'di phan chad rgya mtsho chen po mi ring ngo //	'di_0 phan_4 'chad_9 rgya_14 mtsho_19 chen_25 po_30 mi_33 ring_36 ngo_41 
K04D0012_H0011:193b-21	snyam mo; ;bcom ldan 'das /	snyam_0 mo;_6 ;bcom_10 ldan_16 'da'_21 
K04D0012_H0011:193b-22	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:193b-23	pos shes rab kyi pha rol tu phyin pa zab	pos_0 shes_4 rab_9 kyi_13 pha_17 rol_21 tu_25 phyin_28 ba_34 zab_37 
K04D0012_H0011:193b-24	mo 'di nyan pa na 'di snyam du rig par	mo_0 'di_3 nyan_7 ba_12 na_15 'di_18 snyam_22 du_28 rig_31 ba_35 
K04D0012_H0011:193b-25	bgyi ste / 'di ltar yang de bzhin gshegs pa	bgyid_0 ste_5 'di_11 ltar_15 yang_20 de_25 bzhin_28 gshegs_34 ba_41 
K04D0012_H0011:193b-26	dgra bcom pa yang dag par rdzogs pa'i sangs rgyas	dgra_0 'joms_5 ba_10 yang_13 'dag_18 ba_22 rdzogs_26 ba_33 sangs_38 rgya_44 
K04D0012_H0011:193b-27	de dag gis bdag mngon sum du ni /	de_0 'dag_3 gis_7 bdag_11 mngon_16 sum_22 du_26 ni_29 
K04D0012_H0011:193b-28	lung ma bstan pa de lta na'ang 'di ltar bla	lung_0 ma_5 ston_8 ba_14 de_17 lta_20 na_24 'di_31 ltar_35 bla_40 
K04D0012_H0011:193b-29	na med pa yang dag par rdzogs pa'i byang chub	na_0 med_3 ba_7 yang_10 'dag_15 ba_19 rdzogs_23 ba_30 byang_35 chub_41 
K04D0012_H0011:193b-30	tu bdag lung ston pa dang bsnyen par rig par	tu_0 bdag_3 lung_8 ston_13 ba_18 dang_21 snyen_26 ba_33 rig_37 ba_41 
K04D0012_H0011:193b-31	bgyi'o // de ci'i slad du zhe na /	bgyid_0 de_10 ci_13 slad_18 du_23 zhe_26 na_30 
K04D0012_H0011:193b-32	de ni /	de_0 ni_3 
K04D0012_H0011:193b-33	'di ltar shes rab kyi pha rol tu phyin pa zab mo 'di blta ba dang /	'di_0 ltar_4 shes_9 rab_14 kyi_18 pha_22 rol_26 tu_30 phyin_33 ba_39 zab_42 mo_46 'di_49 lta_53 ba_58 dang_61 
K04D0012_H0011:193b-34	phyag bgyi ba dang /	phyag_0 bgyid_6 ba_11 dang_14 
K04D0012_H0011:193b-35	bsnyen bkur bgyi ba dang /	snyen_0 bkur_7 bgyid_12 ba_17 dang_20 
K04D0012_H0011:193b-36	mnyan pa thob pa'i slad du'o //	nyan_0 ba_6 'thob_9 ba_14 slad_19 du_24 
K04D0012_H0011:193b-37	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:193b-38	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:193b-39	dper na /	dper_0 na_5 
K04D0012_H0011:193b-40	dpyid ka'i dus nye bar gnas pa na /	dpyid_0 ka_6 dus_11 nye_15 ba_19 gnas_23 ba_28 na_31 
K04D0012_H0011:193b-41	shing sna tshogs kyi yal ga'i lo ma rnying pa	shing_0 sna_6 tshogs_10 kyi_17 yal_21 ga_25 lo_30 ma_33 rnying_36 ba_43 
K04D0012_H0011:193b-42	rnams lhags pa las lo ma sna tshogs 'byung ste	rnams_0 lhags_6 ba_12 las_15 lo_19 ma_22 sna_25 tshogs_29 'byung_36 ste_43 
K04D0012_H0011:194a-0	/ @194a *// lo ma rnams byung ba dang dzambu'i gling gi mi	lo_12 ma_15 rnams_18 'byung_24 ba_30 dang_33 dzambu_38 gling_47 gi_53 mi_56 
K04D0012_H0011:194a-1	rnams nags tshal dag la sngar gyi mtshan ma de	rnams_0 nags_6 tshal_11 'dag_17 la_21 sngar_24 gyi_30 mtshan_34 ma_41 de_44 
K04D0012_H0011:194a-2	dag mthong nas de ni /	'dag_0 mthong_4 nas_11 de_15 ni_18 
K04D0012_H0011:194a-3	me tog dang /	me_0 tog_3 dang_7 
K04D0012_H0011:194a-4	'bras bu rnams ring po mi thogs par 'byung ngo /	'bras_0 bu_6 rnams_9 ring_15 po_20 mi_23 thogs_26 ba_32 'byung_36 ngo_43 
K04D0012_H0011:194a-5	snyam nas yid dga' bar 'gyur ro //	snyam_0 nas_6 yid_10 dga'_14 ba_19 'gyur_23 ro_29 
K04D0012_H0011:194a-6	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:194a-7	de ni /	de_0 ni_3 
K04D0012_H0011:194a-8	'di ltar sdong po las mtshan ma 'di lta bu dag sngar gda' ba'i slad du'o //	'di_0 ltar_4 sdong_9 po_15 las_18 mtshan_22 ma_29 'di_32 lta_36 bu_40 'dag_43 sngar_47 gda'_53 ba_58 slad_63 du_68 
K04D0012_H0011:194a-9	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:194a-10	de bzhin du gang gi tshe byang chub sems dpa'	de_0 bzhin_3 du_9 gang_12 gi_17 tshe_20 byang_25 chub_31 sems_36 dpa'_41 
K04D0012_H0011:194a-11	sems dpa' chen pos shes rab kyi pha rol tu	sems_0 dpa'_5 chen_10 pos_15 shes_19 rab_24 kyi_28 pha_32 rol_36 tu_40 
K04D0012_H0011:194a-12	phyin pa zab mo 'di lta ba dang /	phyin_0 ba_6 zab_9 mo_13 'di_16 lta_20 ba_24 dang_27 
K04D0012_H0011:194a-13	phyag bgyi ba dang /	phyag_0 bgyid_6 ba_11 dang_14 
K04D0012_H0011:194a-14	bsnyen bkur bgyi ba dang /	snyen_0 bkur_7 bgyid_12 ba_17 dang_20 
K04D0012_H0011:194a-15	mnyan pa rnyed pa'i slad du nye bar gnas na /	nyan_0 ba_6 rnyed_9 ba_15 slad_20 du_25 nye_28 ba_32 gnas_36 na_41 
K04D0012_H0011:194a-16	byang chub sems dpa' sems dpa' chen po de ni /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 de_39 ni_42 
K04D0012_H0011:194a-17	shes rab kyi pha rol tu phyin pa zab mo	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zab_33 mo_37 
K04D0012_H0011:194a-18	'di la dge ba'i rtsa ba yongs su smin pa	'di_0 la_4 dge_7 ba_11 rtsa_16 ba_21 yongs_24 su_30 smin_33 ba_38 
K04D0012_H0011:194a-19	lags bar rig par bgyi ste /	lags_0 ba_5 rig_9 ba_13 bgyid_17 ste_22 
K04D0012_H0011:194a-20	shes rab kyi pha rol tu phyin pa zab mo 'di ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zab_33 mo_37 'di_40 ni_44 
K04D0012_H0011:194a-21	de la sngon gyi dge ba'i rtsa ba de nyid kyis nye bar bstabs pa lags so //	de_0 la_3 sngon_6 gyi_12 dge_16 ba_20 rtsa_25 ba_30 de_33 nyid_36 kyis_41 nye_46 ba_50 stob_54 ba_61 lags_64 so_69 
K04D0012_H0011:194a-22	de la gang sngon sangs rgyas mthong ba'i lha de dag ni /	de_0 la_3 gang_6 sngon_11 sangs_17 rgya_23 mthong_29 ba_36 lha_41 de_45 'dag_48 ni_52 
K04D0012_H0011:194a-23	'di snyam du sems te /	'di_0 snyam_4 du_10 sems_13 te_18 
K04D0012_H0011:194a-24	sngon gyi byang chub sems dpa' sems dpa' chen po	sngon_0 gyi_6 byang_10 chub_16 sems_21 dpa'_26 sems_31 dpa'_36 chen_41 po_46 
K04D0012_H0011:194a-25	de dag la yang bla na med pa yang dag	de_0 'dag_3 la_7 yang_10 bla_15 na_19 med_22 ba_26 yang_29 'dag_34 
K04D0012_H0011:194a-26	par rdzogs pa'i byang chub tu lung bstan pa'i mtshan	ba_0 rdzogs_4 ba_11 byang_16 chub_22 tu_27 lung_30 ston_35 ba_41 mtshan_46 
K04D0012_H0011:194a-27	ma sngar byung ba yin pas /	ma_0 sngar_3 'byung_9 ba_15 yin_18 ba_22 
K04D0012_H0011:194a-28	byang chub sems dpa' sems dpa' chen po 'di ni /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'di_39 ni_43 
K04D0012_H0011:194a-29	bla na med pa yang dag par rdzogs pa'i byang	bla_0 na_4 med_7 ba_11 yang_14 'dag_19 ba_23 rdzogs_27 ba_34 byang_39 
K04D0012_H0011:194a-30	chub tu ring po mi thogs par lung bstan pa	chub_0 tu_5 ring_8 po_13 mi_16 thogs_19 ba_25 lung_29 ston_34 ba_40 
K04D0012_H0011:194a-31	thob par 'gyur ro //	'thob_0 ba_5 'gyur_9 ro_15 
K04D0012_H0011:194b-0	snyam nas rab tu dga' bar 'gyur zhing rangs te yid mgu ba @194b skye bar 'gyur ro //	snyam_0 nas_6 rab_10 tu_14 dga'_17 ba_22 'gyur_26 zhing_32 rangs_38 te_44 yid_47 mgu_51 ba_55 skye_64 ba_69 'gyur_73 ro_79 
K04D0012_H0011:194b-1	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:194b-2	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:194b-3	dper na /	dper_0 na_5 
K04D0012_H0011:194b-4	bud med sbrum ma mngal lci bar gyur pa de gang gi tshe lus bskyod na /	'bud_0 med_4 sbrum_8 ma_14 mngal_17 lci_23 ba_27 gyur_31 ba_36 de_39 gang_42 gi_47 tshe_50 lus_55 skyod_59 na_66 
K04D0012_H0011:194b-5	cher snyom par 'gyur te /	cher_0 snyom_5 ba_11 'gyur_15 te_21 
K04D0012_H0011:194b-6	de 'chag pa la dad cher mi 'gyur /	de_0 'chag_3 ba_9 la_12 dad_15 cher_19 mi_24 'gyur_27 
K04D0012_H0011:194b-7	kha zas chung ngu 'tshal bar 'gyur /	kha_0 zas_4 chung_8 ngu_14 'tshal_18 ba_25 'gyur_29 
K04D0012_H0011:194b-8	rmugs pa dang gnyid chung bar 'gyur /	rmugs_0 ba_6 dang_9 rnyid_14 chung_20 ba_26 'gyur_30 
K04D0012_H0011:194b-9	smra ba nyung bar 'gyur /	smra_0 ba_5 nyung_8 ba_14 'gyur_18 
K04D0012_H0011:194b-10	stobs chung bar 'gyur /	stobs_0 chung_6 ba_12 'gyur_16 
K04D0012_H0011:194b-11	sdug bsngal mang bar 'gyur /	sdug_0 sngal_5 mang_12 ba_17 'gyur_21 
K04D0012_H0011:194b-12	smre bzhin du mang du gnas par 'gyur /	smre_0 bzhin_5 du_11 mang_14 du_19 gnas_22 ba_27 'gyur_31 
K04D0012_H0011:194b-13	'grogs pa la dad che bar mi 'gyur /	'grogs_0 ba_7 la_10 dad_13 che_17 ba_21 mi_25 'gyur_28 
K04D0012_H0011:194b-14	sngon gyi tshul bzhin ma lags pa yid la bgyid	sngon_0 gyi_6 tshul_10 bzhin_16 ma_22 lags_25 ba_30 yid_33 la_37 bgyid_40 
K04D0012_H0011:194b-15	pa bsten cing nges par bsten la bsgoms te mang	ba_0 sten_3 cing_9 nges_14 ba_19 sten_23 la_29 sgom_32 te_39 mang_42 
K04D0012_H0011:194b-16	du byas pas 'di lta bu'i tshor ba lus kyis	du_0 byed_3 ba_8 'di_12 lta_16 bu_20 tshor_25 ba_31 lus_34 kyis_38 
K04D0012_H0011:194b-17	myong ngo; ;snyam pa de'i tshe bcom ldan 'das /	myong_0 ngo;_6 ;snyam_11 ba_18 de_21 tshe_26 'joms_31 ldan_36 'da'_41 
K04D0012_H0011:194b-18	ji ltar sngar gyi mtshan ma 'di dag mthong ba de ltar bud med 'di ni /	ji_0 ltar_3 sngar_8 gyi_14 mtshan_18 ma_25 'di_28 'dag_32 mthong_36 ba_43 de_46 ltar_49 'bud_54 med_58 'di_62 ni_66 
K04D0012_H0011:194b-19	ring po mi thogs par bu 'byung bar 'tshal bar bgyi'o //	ring_0 po_5 mi_8 thogs_11 ba_17 bu_21 'byung_24 ba_31 'tshal_35 ba_42 bgyid_46 
K04D0012_H0011:194b-20	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:194b-21	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:194b-22	po dge ba'i rtsa ba yongs su smin pa de	po_0 dge_3 ba_7 rtsa_12 ba_17 yongs_20 su_26 smin_29 ba_34 de_37 
K04D0012_H0011:194b-23	/ gang gi tshe shes rab kyi pha rol tu phyin pa zab mo 'di lta ba dang /	gang_2 gi_7 tshe_10 shes_15 rab_20 kyi_24 pha_28 rol_32 tu_36 phyin_39 ba_45 zab_48 mo_52 'di_55 lta_59 ba_63 dang_66 
K04D0012_H0011:194b-24	phyag bgyi ba dang /	phyag_0 bgyid_6 ba_11 dang_14 
K04D0012_H0011:194b-25	bsnyen bkur bgyi ba dang /	snyen_0 bkur_7 bgyid_12 ba_17 dang_20 
K04D0012_H0011:194b-26	mnyan pa'i slad du nye bar gnas la /	nyan_0 ba_6 slad_11 du_16 nye_19 ba_23 gnas_27 la_32 
K04D0012_H0011:194b-27	nyan pa dang de la dga' zhing shes rab kyi	nyan_0 ba_5 dang_8 de_13 la_16 dga'_19 zhing_24 shes_30 rab_35 kyi_39 
K04D0012_H0011:194b-28	pha rol tu phyin pa la don du gnyer ba'i	pha_0 rol_4 tu_8 phyin_11 ba_17 la_20 don_23 du_27 gnyer_30 ba_36 
K04D0012_H0011:194b-29	sems bskyed pa de'i tshe bcom ldan 'das /	sems_0 skyed_5 ba_12 de_15 tshe_20 'joms_25 ldan_30 'da'_35 
K04D0012_H0011:194b-30	byang chub sems dpa' sems dpa' chen po 'di ni /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'di_39 ni_43 
K04D0012_H0011:194b-31	bla na med pa yang dag par rdzogs pa'i byang	bla_0 na_4 med_7 ba_11 yang_14 'dag_19 ba_23 rdzogs_27 ba_34 byang_39 
K04D0012_H0011:194b-32	chub tu ring po mi thogs par lung bstan pa	chub_0 tu_5 ring_8 po_13 mi_16 thogs_19 ba_25 lung_29 ston_34 ba_40 
K04D0012_H0011:194b-33	thob par 'gyur bar 'tshal bar bgyi'o //	'thob_0 ba_5 'gyur_9 ba_15 'tshal_19 ba_26 bgyid_30 
